MET,Acc(HI),Acc/Baro(LO),Baro(HI),State
0.000,512,4,777,64
0.020,512,4,777,0
0.040,513,68,777,0
0.060,518,132,777,0
0.080,518,132,777,0
0.100,515,200,778,0
0.120,515,196,777,0
0.140,517,68,777,0
0.160,542,132,777,0
0.180,538,132,777,0
0.200,541,68,777,0
0.220,549,68,777,0
0.240,555,196,777,0
0.260,561,68,777,0
0.280,566,128,776,0
0.300,570,132,777,0
0.320,577,68,777,1
0.340,577,68,777,1
0.360,578,132,777,1
0.380,578,128,776,1
0.400,577,68,777,1
0.420,578,128,776,1
0.440,578,128,776,1
0.460,577,68,777,1
0.480,578,128,776,1
0.500,576,0,776,1
0.520,576,0,776,1
0.540,576,0,776,1
0.560,577,64,776,2
0.580,576,0,776,2
0.600,576,0,776,2
0.620,576,0,776,2
0.640,576,0,776,2
0.660,575,192,776,2
0.680,577,64,776,2
0.700,576,0,776,2
0.720,576,0,776,2
0.740,575,192,776,2
0.760,576,12,775,2
0.780,576,0,776,2
0.800,576,12,775,2
0.820,576,12,775,2
0.840,576,12,775,2
0.860,576,12,775,2
0.880,576,12,775,2
0.900,576,12,775,2
0.920,576,12,775,2
0.940,576,12,775,2
0.960,576,12,775,2
0.980,576,12,775,2
1.000,575,204,775,2
1.020,577,76,775,2
1.040,576,12,775,2
1.060,576,8,774,2
1.080,577,72,774,2
1.100,576,12,775,2
1.120,576,8,774,2
1.140,577,72,774,2
1.160,577,72,774,2
1.180,577,72,774,2
1.200,576,4,773,2
1.220,576,4,773,2
1.240,576,4,773,2
1.260,577,68,773,2
1.280,576,4,773,2
1.300,576,4,773,2
1.320,576,0,772,2
1.340,576,0,772,2
1.360,576,0,772,2
1.380,576,0,772,2
1.400,577,64,772,2
1.420,577,76,771,2
1.440,576,12,771,2
1.460,576,12,771,2
1.480,576,12,771,2
1.500,577,76,771,2
1.520,576,12,771,2
1.540,576,12,771,2
1.560,577,76,771,2
1.580,576,8,770,2
1.600,577,72,770,2
1.620,576,8,770,2
1.640,576,8,770,2
1.660,575,196,769,2
1.680,576,4,769,2
1.700,575,196,769,2
1.720,576,4,769,2
1.740,576,4,769,2
1.760,576,0,768,2
1.780,576,0,768,2
1.800,577,64,768,2
1.820,576,0,768,2
1.840,577,64,768,2
1.860,575,204,767,2
1.880,576,12,767,2
1.900,577,76,767,2
1.920,576,12,767,2
1.940,576,12,767,2
1.960,576,12,767,2
1.980,576,8,766,2
2.000,577,72,766,2
2.020,576,8,766,2
2.040,577,72,766,2
2.060,576,4,765,2
2.080,576,4,765,2
2.100,576,4,765,2
2.120,576,0,764,2
2.140,576,0,764,2
2.160,575,192,764,2
2.180,576,0,764,2
2.200,576,12,763,2
2.220,575,204,763,2
2.240,575,204,763,2
2.260,576,8,762,2
2.280,576,8,762,2
2.300,576,8,762,2
2.320,575,196,761,2
2.340,576,4,761,2
2.360,575,192,760,2
2.380,575,192,760,2
2.400,575,192,760,2
2.420,574,128,760,2
2.440,574,128,760,2
2.460,575,204,759,2
2.480,574,140,759,2
2.500,575,204,759,2
2.520,574,136,758,2
2.540,574,136,758,2
2.560,573,72,758,2
2.580,575,200,758,2
2.600,573,72,758,2
2.620,574,132,757,2
2.640,574,128,756,2
2.660,574,128,756,2
2.680,574,128,756,2
2.700,573,64,756,2
2.720,573,76,755,2
2.740,572,12,755,2
2.760,573,76,755,2
2.780,572,12,755,2
2.800,572,12,755,2
2.820,573,72,754,2
2.840,572,8,754,2
2.860,572,4,753,2
2.880,571,196,753,2
2.900,573,64,752,2
2.920,571,192,752,2
2.940,571,192,752,2
2.960,572,0,752,2
2.980,572,12,751,2
3.000,571,204,751,2
3.020,571,200,750,2
3.040,572,8,750,2
3.060,573,72,750,2
3.080,571,196,749,2
3.100,571,196,749,2
3.120,571,192,748,2
3.140,571,192,748,2
3.160,570,128,748,2
3.180,569,64,748,2
3.200,571,204,747,2
3.220,570,140,747,2
3.240,570,136,746,2
3.260,570,136,746,2
3.280,568,4,745,2
3.300,568,4,745,2
3.320,568,4,745,2
3.340,569,64,744,2
3.360,569,64,744,2
3.380,569,64,744,2
3.400,568,12,743,2
3.420,571,204,743,2
3.440,570,140,743,2
3.460,569,72,742,2
3.480,569,72,742,2
3.500,568,8,742,2
3.520,568,4,741,2
3.540,568,0,740,2
3.560,568,4,741,2
3.580,567,192,740,2
3.600,567,204,739,2
3.620,567,204,739,2
3.640,567,204,739,2
3.660,567,200,738,2
3.680,566,132,737,2
3.700,566,132,737,2
3.720,566,132,737,2
3.740,566,128,736,2
3.760,565,64,736,2
3.780,565,64,736,2
3.800,565,64,736,2
3.820,566,140,735,2
3.840,563,204,735,2
3.860,563,204,735,2
3.880,563,200,734,2
3.900,562,136,734,2
3.920,566,132,733,2
3.940,564,4,733,2
3.960,564,0,732,2
3.980,564,0,732,2
4.000,563,192,732,2
4.020,563,204,731,2
4.040,563,204,731,2
4.060,561,76,731,2
4.080,564,8,730,2
4.100,561,68,729,2
4.120,563,200,730,2
4.140,562,128,728,2
4.160,562,128,728,2
4.180,561,64,728,2
4.200,561,64,728,2
4.220,560,0,728,2
4.240,560,0,728,2
4.260,563,204,727,2
4.280,561,76,727,2
4.300,562,136,726,2
4.320,560,8,726,2
4.340,560,8,726,2
4.360,560,8,726,2
4.380,561,68,725,2
4.400,559,192,724,2
4.420,560,0,724,2
4.440,559,204,723,2
4.460,559,204,723,2
4.480,559,204,723,2
4.500,560,8,722,2
4.520,560,12,723,2
4.540,559,200,722,2
4.560,558,132,721,2
4.580,556,8,722,2
4.600,556,0,720,2
4.620,557,64,720,2
4.640,556,0,720,2
4.660,558,128,720,2
4.680,558,140,719,2
4.700,558,140,719,2
4.720,556,12,719,2
4.740,557,76,719,2
4.760,555,204,719,2
4.780,556,8,718,2
4.800,556,8,718,2
4.820,556,8,718,2
4.840,553,76,719,2
4.860,557,76,719,2
4.880,554,136,718,2
4.900,554,136,718,2
4.920,554,132,717,2
4.940,553,68,717,2
4.960,555,196,717,2
4.980,555,192,716,2
5.000,554,128,716,2
5.020,550,140,715,2
5.040,548,8,714,2
5.060,548,4,713,2
5.080,551,204,711,2
5.100,545,72,710,2
5.120,543,192,708,2
5.140,540,12,707,2
5.160,538,132,705,2
5.180,535,196,705,2
5.200,532,0,704,2
5.220,531,192,704,2
5.240,531,192,704,2
5.260,532,0,704,2
