# L-10 Launch (Up to date)
# 1076 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23.0 m/s).
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position upwind (m),Position parallel to wind (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-4.0702,0,4.0702,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,33721,6777,40.148,0.12596,NaN,241.43,NaN,0.017314,1406653,193.42,0,0.70283,0,0.45012,0.13267,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,13.97,153.28,90,0,NaN,15,1013.2,340.39,0.01,0.0030238
0.01,0,0,7.4019,0,7.4019,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,33721,6777,40.148,0.12596,NaN,241.43,NaN,0.017457,1418299,580.28,0,0.70212,0,0.44941,0.13267,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,13.97,153.28,90,0,NaN,15,1013.2,340.39,0.01,0.0045543
0.02,3.7013e-4,0.074027,25.906,0.074027,25.906,0,0,0,0,0,0,45,0,9.8062,89.292,0,0,0,33719,6775.1,40.147,0.12596,NaN,241.42,NaN,0.017602,1430054,1204.2,1.1129e-6,0.70141,3.3022e-6,0.4487,0.13267,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6342e-6,13.97,153.28,90,0,NaN,15,1013.2,340.39,0.01,0.013942
0.03,0.0024059,0.33314,51.451,0.33314,51.451,0,0,0,0,0,0,45,0,9.8062,86.843,0,0,0,33713,6768.9,40.143,0.12595,NaN,241.41,NaN,0.017771,1443782,2065.1,9.7948e-5,0.70059,2.8512e-4,0.44788,0.13267,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4356e-5,13.97,153.28,90,0,NaN,15,1013.2,340.39,0.01,0.015441
0.04,0.0083105,0.84781,77.016,0.84781,77.016,0,0,0,0,0,0,45,0,9.8062,82.073,0,0,0,33703,6758.5,40.136,0.12594,NaN,241.38,NaN,0.01806,1467257,2926.1,0.0015173,0.69921,0.0042766,0.4465,0.13267,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7431e-5,13.97,153.28,90,0,NaN,15,1013.2,340.39,0.01,0.025522
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.02064,1.6182,94.289,1.6182,94.289,0,0,0,0,0,0,45,0,9.8062,75.23,0,0,0,33692,6748.1,40.129,0.12593,NaN,241.36,NaN,0.018647,1514942,3507.2,0.009625,0.6965,0.025448,0.44378,0.13267,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6688e-4,13.97,153.28,90,0,NaN,15,1013.2,340.39,0.01,0.044123
0.06,0.041538,2.5614,98.391,2.5614,98.391,0,0,0,0,0,0,45,0,9.8062,67.38,0,0,0,33678,6734.1,40.119,0.12591,NaN,241.33,NaN,0.019565,1589530,3643.9,0.034241,0.69247,0.082233,0.43974,0.13268,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6415e-4,13.97,153.28,90,0,NaN,15,1013.2,340.39,0.01,0.054871
0.07,0.072074,3.5458,97.623,3.5458,97.623,0,0,0,0,0,0,45,0,9.8062,60.064,0,0,0,33660,6716.2,40.107,0.12589,NaN,241.29,NaN,0.020874,1695895,3616.2,0.080871,0.68712,0.17062,0.43439,0.13268,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6567e-4,13.97,153.28,90,0,NaN,15,1013.2,340.39,0.01,0.06159
0.08,0.11242,4.5225,96.854,4.5225,96.854,0,0,0,0,0,0,45,0,9.8062,53.747,0,0,0,33642,6698.1,40.095,0.12587,NaN,241.25,NaN,0.022468,1825365,3588.4,0.14949,0.68117,0.27224,0.42842,0.13268,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.6639e-4,13.97,153.28,90,0,NaN,14.999,1013.2,340.39,0.01,0.073924
0.09,0.16248,5.4915,96.084,5.4915,96.084,0,0,0,0,0,0,45,0,9.8062,48.363,0,0,0,33624,6679.9,40.083,0.12584,NaN,241.2,NaN,0.024282,1972746,3560.7,0.23903,0.67502,0.37269,0.42226,0.13268,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.6632e-4,13.97,153.28,90,0,NaN,14.999,1013.2,340.39,0.01,0.075413
0.1,0.22221,6.4528,95.583,6.4528,95.583,0,0,0,0,0,0,45,0,9.8062,43.796,0,0,0,33606,6661.8,40.071,0.12582,NaN,241.16,NaN,0.026264,2133729,3542,0.34762,0.66894,0.4633,0.41617,0.13269,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6546e-4,13.97,153.28,90,0,NaN,14.999,1013.2,340.39,0.01,0.076815
0.11,0.29152,7.4091,95.351,7.4091,95.351,0,0,0,0,0,0,45,0,9.8062,39.457,0,0,0,33588,6644,40.059,0.1258,NaN,241.12,NaN,0.028192,2290335,3532.5,0.47595,0.66357,0.55055,0.41078,0.13269,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6407e-4,13.97,153.28,90,0,NaN,14.998,1013.2,340.39,0.01,0.086513
0.12,0.37038,8.3631,95.118,8.3631,95.118,0,0,0,0,0,0,45,0,9.8062,35.7,0,0,0,33571,6626.5,40.047,0.12578,NaN,241.08,NaN,0.030254,2457909,3523,0.62018,0.65832,0.6229,0.40551,0.1327,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6245e-4,13.97,153.28,90,0,NaN,14.998,1013.2,340.39,0.01,0.088062
0.13,0.45876,9.3147,94.884,9.3147,94.884,0,0,0,0,0,0,45,0,9.8062,32.44,0,0,0,33553,6609,40.035,0.12576,NaN,241.04,NaN,0.032425,2634210,3513.4,0.7782,0.65327,0.68049,0.40043,0.13271,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.6058e-4,13.97,153.28,90,0,NaN,14.997,1013.2,340.39,0.01,0.097506
0.14,0.55666,10.264,94.649,10.264,94.649,0,0,0,0,0,0,45,0,9.8062,29.603,0,0,0,33536,6591.5,40.023,0.12574,NaN,241,NaN,0.034681,2817464,3503.9,0.94808,0.64846,0.72469,0.3956,0.13271,0.12016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010585,13.97,153.28,90,0,NaN,14.996,1013.2,340.39,0.01,0.098961
0.15,0.66403,11.211,94.413,11.211,94.413,0,0,0,0,0,0,45,0,9.8062,27.123,0,0,0,33518,6574,40.012,0.12572,NaN,240.96,NaN,0.037005,3006270,3494.4,1.1288,0.64429,0.75788,0.39139,0.13272,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011561,13.97,153.28,90,0,NaN,14.996,1013.2,340.39,0.01,0.10039
